s3,s5,s7,s9,s11,s13,s15,s17,s19,s21,s23,s25,s27,s29,s31,s33,s35,s37,s39,s41,s43,s45,s47,s49,s51
521,539,579,631,574,611,542,561,583,623,661,597,617,615,652,649,667,669,693,675,692,704,720,723,741
835,511,623,575,523,541,642,583,590,579,600,625,634,648,631,640,653,656,693,676,695,694,715,734,727
690,572,679,567,544,614,544,576,601,596,661,606,606,617,638,634,648,656,680,691,704,701,714,723,745
603,589,599,526,565,572,572,562,585,579,594,623,622,614,626,682,643,661,682,682,688,706,712,715,730
645,544,513,549,544,548,556,580,577,585,642,594,623,623,622,638,690,654,677,676,690,698,714,720,724
499,573,509,544,572,538,607,560,571,574,587,620,622,614,623,644,654,655,695,687,716,731,711,717,740
718,585,505,571,602,546,604,595,573,604,585,630,604,631,623,638,648,656,669,686,697,701,710,725,730
492,611,510,611,541,581,582,616,609,605,605,599,614,618,648,639,648,660,673,673,714,695,704,714,724
538,651,524,537,623,539,599,556,566,625,614,593,608,626,635,645,669,663,666,674,709,698,709,717,738
648,532,570,589,555,614,582,636,569,571,614,604,603,633,632,640,665,706,678,680,686,716,704,730,733
650,571,644,606,543,535,558,571,563,586,588,597,668,623,638,640,644,663,663,688,714,693,707,717,759
541,532,503,548,522,532,553,570,565,595,616,595,617,614,670,633,658,680,668,685,685,712,735,717,739
505,515,547,724,576,536,566,578,575,583,632,713,638,628,634,648,643,670,668,688,685,709,706,717,732
686,528,589,565,538,550,542,579,625,600,584,595,620,632,623,676,644,674,662,698,690,698,705,737,726
705,520,503,565,547,557,615,561,619,582,667,611,622,620,650,642,643,662,682,676,704,699,704,714,750
680,511,501,611,558,562,542,556,572,580,595,594,603,667,677,660,681,682,671,679,688,698,743,724,798
604,522,512,651,530,532,541,587,570,572,584,606,606,615,658,654,663,660,665,696,691,706,723,729,730
560,640,827,527,547,651,566,684,606,624,591,606,604,616,634,640,658,664,665,691,684,695,703,715,725
644,503,505,573,585,574,581,563,570,586,594,641,606,735,641,633,650,653,668,719,690,725,718,723,734
543,522,511,623,589,542,554,589,584,585,587,615,610,622,635,644,648,655,666,696,757,698,772,714,732
923,638,541,517,533,558,627,612,636,574,614,640,642,636,641,642,643,653,689,674,704,698,728,723,726
579,746,511,541,561,535,552,551,582,571,598,592,602,626,622,651,649,656,679,687,686,695,709,714,725
900,506,552,684,560,617,566,552,575,622,690,610,613,623,623,640,673,709,665,686,700,713,707,720,732
588,548,591,541,550,532,544,626,599,584,632,637,614,636,648,636,643,683,705,697,684,706,703,722,739
643,647,535,511,550,548,542,559,660,606,603,595,639,634,643,705,655,664,690,674,684,710,720,724,773
504,491,577,530,528,597,565,580,575,582,603,593,602,643,625,633,646,665,675,702,687,696,706,753,729
487,631,587,577,534,630,567,557,561,572,593,605,613,631,625,636,675,669,682,690,692,696,709,716,723
588,507,532,512,529,542,553,605,614,580,594,608,606,613,628,651,653,660,670,682,703,695,747,743,725
