s3,s5,s7,s9,s11,s13,s15,s17,s19,s21,s23,s25,s27,s29,s31,s33,s35,s37,s39,s41,s43,s45,s47,s49,s51
496,559,535,592,513,648,575,615,647,599,575,596,723,659,619,675,706,644,656,714,681,739,752,709,715
609,550,611,565,558,685,548,549,601,586,576,621,612,609,620,676,642,697,664,667,675,691,750,754,713
733,497,531,573,547,522,597,697,606,563,641,649,637,635,663,628,683,647,725,771,702,718,744,760,718
660,623,608,574,576,591,553,576,564,571,590,583,620,668,674,628,703,727,653,669,676,682,753,754,714
546,579,524,526,516,521,534,596,649,565,665,600,608,657,677,709,684,643,657,690,674,708,755,730,722
817,496,771,581,511,593,617,602,633,584,598,582,646,617,617,652,726,679,657,665,723,691,706,758,785
728,485,556,559,568,529,597,565,606,583,639,583,597,606,663,679,654,708,752,718,723,689,758,719,766
662,561,509,663,532,543,635,645,646,617,622,630,593,611,668,629,684,704,708,662,689,718,750,704,777
486,639,518,654,534,651,547,548,554,644,614,596,593,608,668,622,668,649,658,670,765,740,707,728,731
572,621,497,597,548,529,550,633,555,576,625,582,620,653,614,707,634,644,706,663,741,688,758,779,735
566,718,556,609,511,642,565,558,629,651,614,619,592,630,632,625,650,694,663,702,725,692,705,716,762
710,532,577,629,512,554,531,546,623,612,597,585,710,691,669,649,681,697,677,674,689,733,724,723,717
588,523,529,604,566,578,542,570,603,565,621,606,644,620,619,649,632,644,709,679,737,695,704,717,769
546,671,541,528,560,535,557,566,622,616,618,652,597,679,637,673,632,652,703,714,678,754,742,737,771
582,535,615,627,582,594,592,669,636,588,693,594,617,602,660,671,698,656,703,720,690,739,698,704,714
686,501,603,559,594,534,534,614,574,612,640,582,592,622,617,637,634,646,722,692,693,688,694,757,722
606,488,496,533,558,583,544,551,638,633,602,643,612,675,674,628,632,696,661,662,675,766,694,707,716
501,519,502,580,587,553,545,574,615,674,602,691,663,603,667,644,657,691,709,668,737,685,693,708,719
790,600,511,671,572,662,617,543,552,581,589,649,698,652,646,648,661,693,652,664,731,738,697,785,762
613,560,575,525,571,524,601,543,602,561,592,590,672,625,678,634,656,693,662,664,730,683,766,741,726
